sample_index,timestamp_rel_s,timestamp_utc_iso,participant_id,session_id,task_id,trial_id,condition,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_dir_x,combined_dir_y,combined_dir_z,vergence_angle_deg,interocular_distance,left_valid,left_origin_x,left_origin_y,left_origin_z,left_dir_x,left_dir_y,left_dir_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_dir_x,right_dir_y,right_dir_z,left_pupil_diameter,right_pupil_diameter,left_pupil_pos_x,left_pupil_pos_y,right_pupil_pos_x,right_pupil_pos_y,left_eye_openness,right_eye_openness,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,hit_valid,hit_object_name,hit_aoi,hit_aoi_type,hit_x,hit_y,hit_z
1,0,"2026-04-01T01:48:55.3800107Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,1.36144,-0.7,0,0,0,1,0,,,,,,
2,5.87191689999963,"2026-04-01T01:48:56.1363549Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
3,6.62387709999985,"2026-04-01T01:48:56.1567044Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02714795,1.134151,-0.6934897,0.2277674,0.01260093,0.01902946,0.9734481,0,,,,,,
4,6.64405239999996,"2026-04-01T01:48:56.1834825Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0275972,1.134122,-0.6930323,0.2274929,0.01172739,0.01967487,0.9735103,0,,,,,,
5,6.67177600000014,"2026-04-01T01:48:56.2882839Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0276755,1.134365,-0.6928436,0.227197,0.01118711,0.01982017,0.9735829,0,,,,,,
6,6.77691559999948,"2026-04-01T01:48:56.3003613Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02877338,1.134799,-0.6910158,0.2253476,0.007017771,0.02117162,0.9740231,0,,,,,,
7,6.78857499999958,"2026-04-01T01:48:56.3111529Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02879719,1.134931,-0.6908339,0.225232,0.00667456,0.02125936,0.9740503,0,,,,,,
8,6.79964310000014,"2026-04-01T01:48:56.3234046Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02880592,1.134942,-0.6906741,0.2251758,0.006434576,0.02125329,0.9740651,0,,,,,,
9,6.81114509999952,"2026-04-01T01:48:56.3326254Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02884199,1.13496,-0.6904699,0.2249788,0.006128536,0.02134191,0.9741107,0,,,,,,
10,6.8205240999996,"2026-04-01T01:48:56.3453566Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02886571,1.135096,-0.6902473,0.2248913,0.005858583,0.02132484,0.9741329,0,,,,,,
11,6.83313279999948,"2026-04-01T01:48:56.3565096Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02884772,1.135103,-0.6900618,0.224802,0.005638832,0.0213518,0.9741542,0,,,,,,
12,6.84399239999948,"2026-04-01T01:48:56.3668007Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02883351,1.135099,-0.6898398,0.2247001,0.005427788,0.02136943,0.9741785,0,,,,,,
13,6.85468680000031,"2026-04-01T01:48:56.3781326Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02879969,1.135092,-0.6896182,0.2246217,0.005284631,0.02139919,0.9741967,0,,,,,,
14,6.86582350000026,"2026-04-01T01:48:56.3887748Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02872162,1.135188,-0.6894016,0.2245756,0.005128432,0.02146882,0.9742067,0,,,,,,
15,6.87682419999965,"2026-04-01T01:48:56.4010329Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02866532,1.135172,-0.6891438,0.2246051,0.004972657,0.0214443,0.9742012,0,,,,,,
16,6.8887208999995,"2026-04-01T01:48:56.4107138Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02861417,1.135138,-0.6889803,0.2246974,0.004831459,0.02152783,0.9741788,0,,,,,,
17,6.89935960000003,"2026-04-01T01:48:56.4229225Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02849077,1.135204,-0.6887624,0.2247957,0.004677375,0.02160453,0.9741552,0,,,,,,
18,6.9105841999999,"2026-04-01T01:48:56.4332631Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02842365,1.135165,-0.6885755,0.2250908,0.004527588,0.02167413,0.9740862,0,,,,,,
19,6.9208265999996,"2026-04-01T01:48:56.4444331Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02833867,1.135107,-0.6882873,0.2251602,0.004337096,0.02164687,0.9740716,0,,,,,,
20,6.93210339999951,"2026-04-01T01:48:56.4582488Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02825575,1.135056,-0.6880766,0.225272,0.004228755,0.02145631,0.9740505,0,,,,,,
21,6.94593239999995,"2026-04-01T01:48:56.4669275Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02813294,1.135137,-0.6878623,0.2252978,0.004199948,0.02141301,0.9740456,0,,,,,,
22,6.95430370000031,"2026-04-01T01:48:56.4782149Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02802665,1.1351,-0.6875606,0.2253911,0.004048058,0.02124738,0.9740282,0,,,,,,
23,6.96608469999956,"2026-04-01T01:48:56.4880164Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02794842,1.135062,-0.6873465,0.2253788,0.003999824,0.02104195,0.9740357,0,,,,,,
24,6.97676709999996,"2026-04-01T01:48:56.4996767Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02784953,1.135115,-0.6870705,0.2254831,0.003861544,0.02088291,0.9740156,0,,,,,,
25,6.98772999999983,"2026-04-01T01:48:56.5165725Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02773186,1.135063,-0.6867319,0.2255969,0.003740607,0.02077101,0.9739921,0,,,,,,
26,7.00392289999945,"2026-04-01T01:48:56.5242555Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02765522,1.135018,-0.6865337,0.2256882,0.00365754,0.02075421,0.9739717,0,,,,,,
27,7.01205200000004,"2026-04-01T01:48:56.5350280Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02755029,1.13495,-0.6862561,0.2257432,0.003590587,0.02071414,0.97396,0,,,,,,
28,7.02245409999978,"2026-04-01T01:48:56.5456523Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02741612,1.134999,-0.6859946,0.2258757,0.003566914,0.02073888,0.9739288,0,,,,,,
29,7.03315349999957,"2026-04-01T01:48:56.5553654Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02732585,1.134951,-0.6857913,0.2260159,0.003640344,0.0207301,0.9738962,0,,,,,,
30,7.04275570000027,"2026-04-01T01:48:56.5671160Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0271764,1.13487,-0.6854889,0.2260674,0.003698831,0.02068426,0.9738851,0,,,,,,
31,7.05542700000024,"2026-04-01T01:48:56.5782484Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02708037,1.134824,-0.6853004,0.2261807,0.003727499,0.02075141,0.9738572,0,,,,,,
